,Unnamed: 0,index,image_name,color,pixel_count,number_of_colors,first_color,percent_1,second_color,percent_2,third_color,percent_3,fourth_color,percent_4,fifth_color,percent_5
20,20,87,22,"[((253, 253, 253), 99405), ((220, 246, 157), 97968), ((18, 182, 121), 68867), ((255, 137, 101), 35103), ((0, 0, 0), 24649), ((136, 129, 89), 8578), ((255, 195, 121), 5733), ((0, 44, 0), 1074), ((139, 76, 60), 559), ((236, 8, 0), 464), ((175, 145, 160), 199), ((143, 202, 184), 187), ((75, 75, 78), 59), ((182, 36, 49), 29), ((40, 112, 28), 26), ((44, 18, 64), 4), ((0, 129, 140), 1), ((140, 95, 5), 1)]",342906,18.0,"(253, 253, 253)",28.98899406834526,"(220, 246, 157)",0.2856992878514812,"(18, 182, 121)",0.2008334645646328,"(255, 137, 101)",0.1023691623943588,"(0, 0, 0)",0.0718826733857092
21,21,90,23,"[((255, 255, 255), 4452680), ((0, 0, 0), 162223), ((98, 172, 123), 150331), ((26, 68, 32), 61639), ((165, 165, 165), 57070), ((83, 84, 86), 366)]",4884309,6.0,"(255, 255, 255)",91.1629464884388,"(0, 0, 0)",0.0332130911455438,"(98, 172, 123)",0.0307783557510386,"(26, 68, 32)",0.0126197994434832,"(165, 165, 165)",0.0116843549415075
22,22,106,24,"[((232, 235, 247), 3362967), ((238, 116, 63), 340766), ((38, 73, 70), 216977), ((226, 202, 131), 204777), ((2, 8, 135), 120974), ((117, 120, 169), 90774), ((133, 153, 151), 226), ((69, 74, 167), 213)]",4337674,8.0,"(232, 235, 247)",77.52927029555472,"(238, 116, 63)",0.0785596151301365,"(38, 73, 70)",0.0500215092236069,"(226, 202, 131)",0.0472089419352399,"(2, 8, 135)",0.0278891405854842
23,23,107,25,"[((255, 255, 255), 496399), ((222, 48, 101), 63592), ((161, 161, 161), 14841), ((32, 40, 189), 12493), ((255, 0, 0), 7191), ((4, 35, 120), 5812), ((255, 188, 213), 4499), ((0, 169, 44), 4407), ((116, 110, 164), 3885), ((0, 0, 0), 3485), ((83, 47, 0), 1573), ((0, 123, 120), 1464), ((255, 208, 124), 1210), ((153, 64, 152), 838), ((255, 217, 0), 652), ((0, 149, 89), 504), ((170, 231, 182), 249), ((186, 107, 93), 127), ((240, 112, 0), 117), ((79, 78, 80), 108), ((145, 115, 0), 94), ((179, 203, 255), 67), ((169, 0, 0), 64), ((69, 1, 56), 29), ((119, 0, 38), 7), ((77, 98, 44), 3), ((140, 168, 62), 1), ((114, 129, 240), 1)]",623712,28.0,"(255, 255, 255)",79.5878546508645,"(222, 48, 101)",0.1019573136319326,"(161, 161, 161)",0.0237946359858396,"(32, 40, 189)",0.0200300779847108,"(255, 0, 0)",0.0115293597044789
24,24,98,26,"[((0, 0, 0), 760113), ((106, 62, 33), 172492), ((207, 171, 135), 68376), ((121, 116, 113), 448), ((240, 236, 237), 3)]",1001432,5.0,"(0, 0, 0)",75.90260746610853,"(106, 62, 33)",0.1722453446664376,"(207, 171, 135)",0.068278225580968,"(121, 116, 113)",0.0004473593813658,"(240, 236, 237)",2.9957101430751166e-06
25,25,95,27,"[((255, 255, 255), 310595), ((113, 184, 222), 64630), ((3, 48, 121), 7994), ((0, 0, 0), 7316), ((117, 117, 117), 2464), ((29, 99, 143), 1)]",393000,6.0,"(255, 255, 255)",79.03180661577608,"(113, 184, 222)",0.1644529262086514,"(3, 48, 121)",0.0203409669211195,"(0, 0, 0)",0.0186157760814249,"(117, 117, 117)",0.0062697201017811
26,26,47,28,"[((255, 255, 255), 418908), ((255, 123, 0), 224552), ((255, 227, 44), 196272), ((103, 41, 0), 64168), ((0, 0, 0), 17660), ((186, 61, 131), 14126), ((139, 139, 139), 13177), ((255, 87, 67), 12096), ((221, 162, 130), 7295), ((198, 138, 0), 5333), ((69, 15, 44), 3658), ((253, 255, 152), 1897), ((108, 24, 133), 540), ((113, 100, 37), 258), ((135, 97, 146), 62), ((160, 212, 171), 57), ((195, 194, 245), 32), ((186, 75, 81), 13)]",980104,18.0,"(255, 255, 255)",42.74117848718095,"(255, 123, 0)",0.2291103801229257,"(255, 227, 44)",0.2002562993314995,"(103, 41, 0)",0.0654706031196689,"(0, 0, 0)",0.0180184959963432
27,27,48,29,"[((237, 235, 208), 18708699), ((215, 88, 50), 711375), ((57, 62, 65), 467495), ((226, 180, 106), 305484), ((160, 96, 78), 82684), ((142, 143, 132), 67720), ((224, 135, 6), 8296), ((109, 1, 0), 3844), ((188, 204, 238), 172), ((102, 25, 55), 38), ((68, 41, 2), 27), ((81, 120, 166), 6)]",20355840,12.0,"(237, 235, 208)",91.9082631814752,"(215, 88, 50)",0.0349469734484059,"(57, 62, 65)",0.0229661364994026,"(226, 180, 106)",0.0150071920392378,"(160, 96, 78)",0.0040619301389674
28,28,105,30,"[((249, 204, 160), 441775), ((255, 255, 255), 388124), ((209, 178, 232), 15360), ((78, 121, 167), 5706), ((242, 142, 44), 4299), ((237, 201, 73), 4203), ((0, 0, 0), 1927), ((255, 157, 167), 1177), ((127, 104, 82), 826), ((89, 161, 79), 594), ((118, 183, 178), 9)]",864000,11.0,"(249, 204, 160)",51.13136574074074,"(255, 255, 255)",0.4492175925925926,"(209, 178, 232)",0.0177777777777777,"(78, 121, 167)",0.0066041666666666,"(242, 142, 44)",0.0049756944444444
29,29,108,31,"[((152, 167, 189), 2806747), ((255, 255, 255), 2116002), ((24, 59, 107), 96625), ((0, 0, 0), 14485), ((77, 77, 77), 45)]",5033904,5.0,"(152, 167, 189)",55.75686385755469,"(255, 255, 255)",0.420350090108989,"(24, 59, 107)",0.0191948436044866,"(0, 0, 0)",0.0028774883271512,"(77, 77, 77)",8.939383826151631e-06
30,30,97,32,"[((255, 255, 255), 573897), ((118, 196, 199), 36070), ((207, 130, 187), 27285), ((255, 213, 59), 21116), ((255, 71, 91), 10966), ((74, 86, 117), 10177), ((254, 165, 96), 9182), ((119, 196, 59), 8594), ((106, 56, 235), 8454), ((48, 155, 234), 8297), ((0, 234, 172), 5042), ((255, 52, 210), 2751), ((0, 237, 58), 2651), ((226, 163, 150), 913), ((107, 87, 204), 183), ((255, 234, 165), 177), ((185, 249, 191), 3), ((181, 180, 216), 2)]",725760,18.0,"(255, 255, 255)",79.07531415343915,"(118, 196, 199)",0.0496996252204585,"(207, 130, 187)",0.0375950727513227,"(255, 213, 59)",0.0290950176366843,"(255, 71, 91)",0.0151096781305114
31,31,96,33,"[((13, 13, 13), 502925), ((196, 196, 196), 4262), ((89, 89, 89), 2345), ((48, 0, 44), 591), ((66, 0, 0), 564), ((217, 105, 29), 540), ((151, 95, 68), 437), ((68, 73, 128), 329), ((224, 117, 223), 318), ((255, 81, 255), 303), ((0, 44, 0), 259), ((31, 125, 75), 191), ((255, 114, 110), 121), ((216, 133, 153), 30), ((23, 17, 117), 10), ((103, 97, 207), 8), ((138, 25, 115), 6), ((139, 21, 0), 1)]",513240,18.0,"(13, 13, 13)",97.99021900085732,"(196, 196, 196)",0.0083041072402774,"(89, 89, 89)",0.0045690125477359,"(48, 0, 44)",0.0011515080664016,"(66, 0, 0)",0.001098901098901
32,32,81,34,"[((255, 255, 255), 248209)]",248209,1.0,"(255, 255, 255)",100.0,0,0.0,0,0.0,0,0.0,0,0.0
33,33,78,35,"[((255, 255, 255), 214117), ((56, 128, 185), 28680), ((253, 109, 132), 26646), ((19, 20, 47), 3538), ((151, 152, 164), 613), ((255, 184, 194), 21)]",273615,6.0,"(255, 255, 255)",78.25484713922847,"(56, 128, 185)",0.1048188147579628,"(253, 109, 132)",0.0973850117866345,"(19, 20, 47)",0.0129305776364599,"(151, 152, 164)",0.0022403742484878
34,34,88,36,"[((250, 250, 250), 1035585), ((254, 150, 141), 43347), ((0, 0, 0), 34762), ((116, 107, 108), 28928), ((0, 162, 255), 21788), ((143, 68, 169), 896), ((141, 211, 255), 453), ((221, 66, 110), 437), ((201, 114, 169), 89), ((242, 155, 76), 80), ((250, 220, 100), 14), ((253, 94, 73), 9), ((54, 108, 155), 6), ((77, 34, 18), 4), ((240, 202, 253), 1), ((171, 171, 121), 1)]",1166400,16.0,"(250, 250, 250)",88.78472222222223,"(254, 150, 141)",0.0371630658436214,"(0, 0, 0)",0.0298028120713305,"(116, 107, 108)",0.0248010973936899,"(0, 162, 255)",0.0186796982167352
35,35,89,37,"[((255, 255, 255), 16008643), ((25, 107, 194), 2034952), ((0, 0, 0), 686821), ((255, 217, 25), 498200), ((77, 77, 77), 202572), ((163, 163, 163), 7499), ((119, 101, 12), 1297), ((12, 53, 97), 16)]",19440000,8.0,"(255, 255, 255)",82.34898662551441,"(25, 107, 194)",0.1046786008230452,"(0, 0, 0)",0.0353302983539094,"(255, 217, 25)",0.0256275720164609,"(77, 77, 77)",0.0104203703703703
36,36,71,38,"[((255, 255, 255), 3170522), ((178, 240, 178), 91874), ((0, 0, 0), 33555), ((11, 93, 101), 19642), ((125, 62, 7), 12300), ((111, 58, 95), 6722), ((22, 78, 22), 5240), ((23, 190, 207), 4788), ((201, 161, 189), 3737), ((255, 127, 14), 3647), ((227, 119, 194), 2330), ((31, 119, 180), 2271), ((188, 189, 34), 1206), ((44, 160, 44), 1206), ((139, 118, 99), 954), ((115, 117, 20), 6)]",3360000,16.0,"(255, 255, 255)",94.3607738095238,"(178, 240, 178)",0.0273434523809523,"(0, 0, 0)",0.0099866071428571,"(11, 93, 101)",0.0058458333333333,"(125, 62, 7)",0.0036607142857142
37,37,68,39,"[((67, 67, 67), 3660139), ((73, 193, 108), 202404), ((245, 193, 3), 158889), ((255, 255, 255), 127060), ((128, 110, 45), 104958), ((69, 120, 84), 21908), ((161, 161, 161), 4171), ((248, 229, 162), 811), ((159, 193, 55), 314), ((163, 217, 179), 107)]",4280761,10.0,"(67, 67, 67)",85.50206376856825,"(73, 193, 108)",0.0472822472452912,"(245, 193, 3)",0.0371169985897367,"(255, 255, 255)",0.0296816383815868,"(128, 110, 45)",0.024518537708599
38,38,139,40,"[((255, 255, 255), 3437448), ((255, 169, 172), 140583), ((124, 179, 218), 31338), ((0, 0, 0), 12724), ((254, 152, 78), 8488), ((243, 210, 156), 5382), ((125, 125, 125), 3590), ((95, 54, 50), 344), ((168, 218, 180), 102), ((171, 117, 79), 1)]",3640000,10.0,"(255, 255, 255)",94.4353846153846,"(255, 169, 172)",0.0386217032967032,"(124, 179, 218)",0.0086093406593406,"(0, 0, 0)",0.0034956043956043,"(254, 152, 78)",0.0023318681318681
39,39,132,41,"[((255, 255, 255), 29786715), ((118, 0, 2), 2876141), ((0, 0, 0), 1206734), ((0, 0, 120), 605835), ((130, 130, 130), 84506), ((0, 0, 51), 69)]",34560000,6.0,"(255, 255, 255)",86.18841145833333,"(118, 0, 2)",0.0832216724537037,"(0, 0, 0)",0.0349170717592592,"(0, 0, 120)",0.0175299479166666,"(130, 130, 130)",0.0024451967592592
